催化剂组合编号,催化剂组合,温度,乙醇转化率,C4烯烃选择性,乙烯选择性,乙醛选择性,碳数为4-12脂肪醇选择性,甲基苯甲醛和甲基苯甲醇选择性,其他生成物的选择性,
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,350,48.9 ,36.85,2.85,7.23,38.29,3.51,11.27,
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,400,83.7 ,53.43,6.76,8.95,14.37,3.38,13.11,
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,450,86.4 ,49.9,14.84,8.39,12.41,2.09,12.37,
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.0 ,9.62,0.27,1.49,79.51,6.53,2.58,
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,12.1 ,8.62,0.36,1.66,81.44,5.18,2.74,
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,29.5 ,10.72,0.54,2.41,76.32,5.88,4.13,
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,43.3 ,18.89,1.02,4.42,59.65,7.64,8.38,
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,60.5 ,27.25,2.23,6.8,45,8.73,9.99,
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,400,88.4 ,41.02,3.67,10.82,16.47,10.51,17.51,
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,250,14.8 ,1.96,0.14,3.27,88.42,3.36,2.85,
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,275,12.4 ,6.65,0.19,11.27,70.05,5.77,6.07,
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,300,20.8 ,10.12,0.74,13.18,62.45,5.66,7.85,
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,325,28.3 ,13.86,1.14,15.83,56.28,2.92,9.97,
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,350,36.8 ,18.75,3.11,16.16,48,4.36,9.62,
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,400,76.0 ,38.23,6.38,9.64,25.72,3.71,16.32,
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,13.4 ,3.3,0.2,11.59,80.23,1.04,3.64,
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,12.8 ,7.1,0.38,26.67,55.7,2.02,8.13,
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,25.5 ,7.18,1.46,28.51,51.07,2.12,9.66,
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,55.8 ,10.65,14.49,42.75,19.83,3.74,8.54,
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,400,83.3 ,37.33,6.18,16.08,19.48,7.61,13.32,
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,250,19.7 ,5.75,0.18,3.69,87.26,0,3.12,
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,275,29.0 ,6.56,0.31,3.27,84.43,0,5.43,
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,300,40.0 ,8.84,0.57,3.98,79.99,0,6.62,
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,350,58.6 ,18.64,2.28,8.23,45.04,3.24,22.57,
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,400,76.0 ,33.25,8.31,5.79,24.57,6.76,21.32,
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,250,6.3 ,5.63,0.14,1.59,86.5,0,6.14,
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,275,8.8 ,8.52,0.2,4.31,82.26,0,4.71,
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,300,13.2 ,13.82,0.52,4.6,72.79,0,8.27,
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,350,31.7 ,25.89,1.45,4.15,48.52,2.25,17.74,
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,400,56.1 ,41.42,6.4,4.32,24.15,0,23.71,
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,250,2.1 ,5.4,0.16,4.99,81.93,0,7.52,
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,275,3.0 ,9.68,0.33,4.66,75.09,0,10.24,
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,300,4.7 ,16.1,0.53,5.08,61.02,1.57,15.7,
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,350,13.4 ,31.04,2.84,3.75,39.29,2.09,20.99,
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,400,40.8 ,42.04,6.36,4.71,27.07,0,19.82,
A10,50mg 5wt%Co/SiO2-50mg HAP-乙醇浓度2.1ml/min,250,0.3 ,2.19,1.06,12.49,83.06,0,1.2,
A10,50mg 5wt%Co/SiO2-50mg HAP-乙醇浓度2.1ml/min,275,1.0 ,1.65,0.58,4.67,92.77,0,0.33,
A10,50mg 5wt%Co/SiO2-50mg HAP-乙醇浓度2.1ml/min,300,1.7 ,2.17,0.8,5.8,90.32,0,0.91,
A10,50mg 5wt%Co/SiO2-50mg HAP-乙醇浓度2.1ml/min,350,9.0 ,3.3,0.81,4.3,88.98,0.7,1.91,
A10,50mg 5wt%Co/SiO2-50mg HAP-乙醇浓度2.1ml/min,400,28.6 ,10.29,1.93,3.68,79.2,0,4.9,
A11,50mg 1wt%Co/SiO2+90mg石英砂-乙醇浓度1.68ml/min，无HAP,250,0.2 ,0.1,2.14,97.76,0,0,0,
A11,50mg 1wt%Co/SiO2+90mg石英砂-乙醇浓度1.68ml/min，无HAP,275,0.5 ,1,2.83,94.75,0,0,1.42,
A11,50mg 1wt%Co/SiO2+90mg石英砂-乙醇浓度1.68ml/min，无HAP,300,1.6 ,1.82,3.24,93.76,0,0,1.18,
A11,50mg 1wt%Co/SiO2+90mg石英砂-乙醇浓度1.68ml/min，无HAP,350,8.2 ,4.35,7.61,85.83,0,0,2.21,
A11,50mg 1wt%Co/SiO2+90mg石英砂-乙醇浓度1.68ml/min，无HAP,400,32.6 ,7.93,13.35,75.03,0,0,3.69,
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,250,1.4 ,6.17,0.14,3.48,81.43,7.45,1.33,
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,275,3.5 ,8.11,0.18,4.2,80,5.3,2.21,
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,300,6.9 ,11.22,0.43,8.83,71.28,5.34,2.9,
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,350,19.9 ,22.26,1.17,13.48,46.5,5.66,10.93,
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,400,44.5 ,36.3,3.63,16.25,25.79,5.32,12.71,
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min,250,1.3 ,5.19,0.31,5.39,79.6,6.87,2.64,
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min,275,2.3 ,7.62,0.66,7.67,74.74,5.91,3.4,
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min,300,4.1 ,12.74,1.2,19.65,55.4,4.87,6.14,
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min,350,14.6 ,23.46,2.53,26.42,30.99,3.52,13.08,
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min,400,40.0 ,27.91,5.19,24.73,22.05,3.85,16.27,
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min,250,2.5 ,1.89,0.14,2.63,90.74,3.18,1.42,
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min,275,5.3 ,2.55,0.14,2.8,89.7,2.85,1.96,
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min,300,10.2 ,3.61,0.25,4.07,85.12,3.43,3.52,
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min,350,24.0 ,10.83,1.04,6.25,70.1,4.59,7.19,
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min,400,53.6 ,22.3,2.92,7.22,49.31,7.48,10.77,
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,250,1.4 ,6.32,0.1,5.7,83.4,0,4.48,
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,275,3.4 ,8.25,0.19,4.03,81.35,0,6.18,
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,300,6.7 ,12.28,0.45,4.11,73.45,0,9.71,
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,350,19.3 ,25.97,1.22,4.4,48.32,2.44,17.65,
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,400,43.6 ,41.08,3.77,4.13,26.79,1.95,22.28,
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min,250,2.8 ,3.26,0.2,2.78,89.53,0,4.23,
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min,275,4.4 ,4.97,0.32,3.92,83.2,0,7.59,
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min,300,6.2 ,9.32,0.72,5.21,71.37,3.09,10.29,
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min,350,16.2 ,22.88,2.11,6.07,47.39,4.74,16.81,
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min,400,45.1 ,38.7,8.1,7.12,24.22,4.34,17.52,
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,250,0.4 ,2.85,0.31,18.98,76.81,0,1.05,
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,275,0.6 ,5.35,0.42,19.79,73.56,0,0.88,
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,300,1.1 ,7.61,0.74,19.86,70.07,0,1.72,
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,325,3.3 ,7.74,1.16,16.61,67.57,3.77,3.15,
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,350,6.0 ,13.81,1.81,20.27,53.38,4.64,6.09,
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,400,21.1 ,21.21,3.79,19.72,39.51,4.88,10.89,
B4,25mg 1wt%Co/SiO2- 25mg HAP-乙醇浓度1.68ml/min,250,0.5 ,6.62,0.1,6.91,82.18,4.19,0,
B4,25mg 1wt%Co/SiO2- 25mg HAP-乙醇浓度1.68ml/min,275,1.1 ,6.62,0.32,2.93,83.06,1.93,5.14,
B4,25mg 1wt%Co/SiO2- 25mg HAP-乙醇浓度1.68ml/min,300,3.0 ,5.05,0.31,8.47,78.11,4.04,4.02,
B4,25mg 1wt%Co/SiO2- 25mg HAP-乙醇浓度1.68ml/min,325,6.1 ,8.33,0.69,12.29,70.48,3.89,4.32,
B4,25mg 1wt%Co/SiO2- 25mg HAP-乙醇浓度1.68ml/min,350,9.6 ,13.1,0.76,14.26,59.75,3.89,8.24,
B4,25mg 1wt%Co/SiO2- 25mg HAP-乙醇浓度1.68ml/min,400,33.5 ,21.45,2.68,15.15,43.12,5.21,12.39,
B5,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,250,2.1 ,4.3,0.18,3.98,84.81,4.76,1.97,
B5,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,275,3.8 ,5.06,0.35,7.67,78.13,4.22,4.57,
B5,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,300,5.8 ,7.92,0.47,14.04,66.89,4.41,6.27,
B5,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,325,9.8 ,11.69,0.77,14.62,59.29,5.28,8.35,
B5,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,350,15.9 ,15.34,1.57,15.03,53.41,4.14,10.51,
B5,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,400,45.0 ,25.83,3.93,13.82,36.87,6.16,13.39,
B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,250,2.8 ,4.5,0.23,1.97,85.16,4.87,3.27,
B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,275,7.5 ,4.79,0.15,2.16,86.83,3.82,2.25,
B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,300,12.6 ,8.77,0.5,4.81,74.9,5.05,5.97,
B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,325,15.9 ,16.06,1.04,7.44,57.98,6.75,10.73,
B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,350,27.0 ,22.41,0.99,9.95,48.26,4.44,13.95,
B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,400,63.2 ,30.48,4.11,11.12,34.9,4.71,14.68,
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,250,4.4,4.08,0.13,2.04,86.01,4.79,2.95,
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,275,7.9,6.62,0.15,3.49,79.79,5.67,4.28,
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,300,11.7,12.86,0.2,6.47,68.02,6.71,5.74,
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,325,17.8,18.45,1.42,7.94,59.12,7.14,5.93,
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,350,30.2,25.05,1.53,10.3,49.36,6.3,7.46,
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,400,69.4,38.17,2.51,13.96,26.64,4.71,14.01,
